integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
1351,Фізична особа-підприємець Русанова Яна Іванівна,Щит на фасаді,2.30 х 0.76 х 1,Гуданова вул. 4/10,2021-12-31,4517,2021-12-31,2020-12-01,null,null
1352,Фізична особа-підприємець Русанова Яна Іванівна,Щит на фасаді,2.30 х 0.76 х 1,Гуданова вул. 4/10,2021-12-31,4517,2021-12-31,2020-12-01,null,null
1353,"Товариство з обмеженою відповідальністю ""РА Ньюборд""",Щит стаціонарний,6.00 х 3.00 х 2,Холодногірська вул. 4 - Волонтерська вул.,2024-06-30,15,2034-07-01,2020-08-19,null,null
1354,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,0.50 x 0.50 x 1,Петра Болбочана вул. 3,2021-12-31,2244,2021-12-31,2018-03-14,null,null
1355,Фізична особа-підприємець Гужва Галина Андріївна,Щит на фасаді,4.25 х 0.70 х 1,Маршала Жукова просп. - Московський просп. 144-Ж,2025-08-19,null,null,2020-08-19,null,null
1356,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,5.00 х 1.00 х 1,Зоряна вул. 2-А - Чкалова вул.,2021-08-01,null,null,2019-09-18,null,null
1357,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,17.00 х 0.85 х 1,Ковпака Сидора вул. 24,2022-07-01,null,null,2019-09-18,null,null
1358,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,3.50 х 0.70 х 1,Ковпака Сидора вул. 24,2022-07-01,null,null,2019-09-18,null,null
1359,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,17.00 х 0.85 х 1,Ковпака Сидора вул. 24,2022-07-01,null,null,2019-09-18,null,null
1360,"Товариство з обмеженою відповідальністю ""ОККО-Рітейл""",Щит на існуючій споруді,3.50 x 0.70 x 1,Ковпака Сидора вул. 24,2022-07-01,null,null,2019-09-18,null,null
1361,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,2.10 х 2.00 х 1,Салтівське шосе 248,2024-11-13,null,null,2019-11-13,null,null
1362,"Товариство з обмеженою відповідальністю ""Восторг""",Щит на фасаді,17.00 х 2.00 х 1,Московський просп. 274-В,2025-02-05,null,null,2020-02-05,null,null
1363,"Товариство з обмеженою відповідальністю ""МСС Март""",Щит на фасаді,4.00 х 1.85 х 1,Академіка Проскури вул. 3-В,2025-12-24,null,null,2020-12-24,null,null
1364,"Товариство з обмеженою відповідальністю ""МСС Март""",Щит на фасаді,0.50 х 2.80 х 1,Академіка Проскури вул. 3-В,2025-12-24,null,null,2020-12-24,null,null
1365,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Вернадського вул. 12,2023-06-06,4,2028-01-01,2018-06-06,null,null
1366,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Вернадського вул. 2,2023-06-06,4,2028-01-01,2018-06-06,null,null
1367,Фізична особа-підприємець Юхименко Світлана Михайлівна,Щит на фасаді,22.33 x 0.76 x 1,Гагаріна просп. 1,2021-12-31,4722,2021-12-31,2018-03-28,null,null
1368,Приватний нотаріус Парфенкова Ірина Володимирівна,Щит стаціонарний,1.20 x 1.80 x 2,Валентинівська вул. 35/81,2021-06-30,4149,2021-06-30,2016-09-21,null,null
1369,Фізична особа-підприємець Остапенко Ігор Олексійович,Щит на фасаді,2.50 х 1.00 х 1,Московський просп. 128-А,2024-08-07,null,null,2019-08-07,null,null
1370,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 x 3.00 x 4,Гвардійців-Широнінців вул. - Дружби Народів вул.,2021-05-19,4130,2021-05-19,2016-05-19,null,null
1371,"Товариство з обмеженою відповідальністю ""Рекламне агенство ""Давід""",Щит стаціонарний,6.00 x 3.00 x 4,Дружби Народів вул. - Гвардійців-Широнінців вул.,2021-05-19,4196,2021-05-19,2016-05-19,null,null
1372,"Публічне акціонерне товариство ""Східно-Український банк ""Грант""",Щит на фасаді,1.10 x 1.40 x 1,Академіка Проскури вул. 1,2021-07-20,null,null,2016-07-20,null,null
1373,"Товариство з обмеженою відповідальністю ""Ресторація номер один""",Щит на фасаді,3.00 x 0.50 x 1,Квітки-Основ'яненка вул. 7,2024-04-10,null,null,2019-04-10,null,null
1374,"Товариство з обмеженою відповідальністю ""Незалежна лабораторія Інвітро""",Щит на фасаді,2.44 х 0.40 х 1,Гагаріна просп. 181-А,2026-08-25,null,null,2021-08-25,null,null
1375,Фізична особа-підприємець Степаненко Олена Вікторівна,Щит на фасаді,0.60 х 1.20 х 1,Сумська вул. 41/2,2021-12-31,4902,2021-12-31,2021-07-07,null,null
1376,"Дочірнє підприємство ""БігБорд""",Зупинковий павільйон,1.20 x 1.80 x 2,Сумська вул. - Незалежності просп.,2024-09-30,1,2024-09-30,2019-11-13,null,null
1377,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,2.25 х 1.20 х 1,Пушкінська вул. 74,2026-02-23,null,null,2021-02-23,null,null
1378,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,2.25 х 1.20 х 1,Пушкінська вул. 74,2026-02-23,null,null,2021-02-23,null,null
1379,Фізична особа-підприємець Хорошайлова Людмила Анатоліївна,Щит на фасаді,7.00 х 0.80 х 1,Полтавський Шлях вул. 29,2020-12-31,3505,2020-12-31,2018-06-06,null,null
1380,"Товариство з обмеженою відповідальністю фірма ""Б.А.Т.""",Щит стаціонарний,1.20 x 1.80 x 2,Благовіщенська вул. 10,2021-06-30,4119,2021-06-30,2018-09-12,null,null
1381,Фізична особа-підприємець Вовченко Ігор Ігорович,Щит на фасаді,3.40 х 0.50 х 1,Науки просп. 30,2024-01-01,null,null,2019-06-12,null,null
1382,"Товариство з обмеженою відповідальністю ""Лізинг фармація""",Щит на фасаді,6.20 х 1.20 х 1,Архітектора Альошина просп. 13/11,2021-12-31,5143,2021-12-31,2021-09-22,null,null
1383,"Спільне підприємство у формі товариства з обмеженою відповідальністю ""Експогаз""",Щит стаціонарний,1.20 x 5.00 x 2,Шевченка вул. 331,2022-06-30,4973,2022-06-30,2018-09-26,null,null
1384,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Вернадського вул. 2,2023-06-06,4,2028-01-01,2018-06-06,null,null
1385,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Вернадського вул.,2023-06-06,4,2028-01-01,2018-06-06,null,null
1386,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,1.20 x 1.80 x 2,Вернадського вул.,2023-06-06,4,2028-01-01,2018-06-06,null,null
1387,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,3.10 x 2.20 x 1,Вернадського вул. 1,2023-06-06,4,2028-01-01,2018-06-06,null,null
1388,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 х 3.00 х 1,Тракторобудівників просп. 107 (2),2025-02-25,null,null,2020-02-25,null,null
1389,"Товариство з обмеженою відповідальністю ""Регіонфарм 2016""",Дахова конструкція,8.60 х 1.20 х 1,Вернадського вул. 14,2023-10-26,null,null,2019-04-10,null,null
1390,"Дочірнє підприємство ""БігБорд""",Щит стаціонарний,3.10 x 2.20 x 2,Вернадського вул. - Гагаріна просп. 20-А,2023-06-06,4,2028-01-01,2018-06-06,null,null
1391,"Товариство з обмеженою відповідальністю ""Рекламне агенство ""Давід""",Щит на фасаді,21.50 x 12.50 x 1,Павлівський м-н 1/3,2021-06-15,null,null,2016-06-15,null,null
